SG,Top_Class,Formula,Source,ID,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,Z2,wcc
12,2.0,Co2As2O7,ICSD,69001,1.0,11.0,86.0,3.0,0.0,0.013,0.584,(1;000),0.0
12,2.0,Sr3(AlGe2)2,ICSD,417968,1.0,9.0,52.0,2.0,0.0,0.044,0.05,(1;110),0.0
13,2.0,Sn3O4,ICSD,174299,1.0,14.0,132.0,3.0,0.0,0.032,0.525,(0;100),0.0
13,2.0,NiMoO4,ICSD,81060,1.0,12.0,96.0,3.0,0.0,0.014,0.472,(0;110),0.0
14,2.0,Re2Si,ICSD,57480,1.0,24.0,272.0,3.0,0.0,0.021,0.505,(0;000),0.0
14,2.0,CuHOF,ICSD,98698,1.0,16.0,100.0,2.0,0.0,0.052,0.272,(0;010),0.0
14,2.0,CuHClO,ICSD,91088,1.0,16.0,100.0,2.0,0.0,0.03,0.337,(0;001),0.0
14,2.0,CuHClO,ICSD,38384,1.0,16.0,100.0,2.0,0.0,0.014,0.317,(1;000),0.0
14,2.0,CuGeO3,ICSD,411020,1.0,20.0,132.0,3.0,0.0,0.016,0.016,(0;010),0.0
14,2.0,TaCoTe2,ICSD,73738,1.0,16.0,168.0,2.0,0.0,0.0,0.235,(0;000),0.0
14,2.0,CaSiPd,ICSD,69790,1.0,12.0,128.0,3.0,0.0,0.014,0.135,(1;000),0.0
14,2.0,Y4C7,ICSD,86049,1.0,22.0,144.0,3.0,0.0,0.012,0.192,(1;010),0.0
14,2.0,CrInBr3,ICSD,54136,1.0,20.0,192.0,3.0,0.0,0.006,0.247,(1;000),0.0
14,2.0,Ba2P3Pd,ICSD,75019,1.0,24.0,212.0,1.0,0.0,0.016,0.369,(1;000),0.0
14,2.0,Ba(SiRh)2,ICSD,50158,1.0,20.0,208.0,3.0,0.0,0.014,0.425,(1;001),0.0
14,2.0,Ba(GaPt)2,ICSD,50160,1.0,20.0,224.0,3.0,0.0,0.082,0.52,(1;001),0.0
14,2.0,FeAsO4,ICSD,73978,1.0,24.0,148.0,3.0,0.0,0.013,0.161,(0;010),0.0
14,3.0,K2Mn2O3,ICSD,61038,1.0,14.0,132.0,3.0,0.0,0.0,0.388,(1;101),0.0
14,3.0,CsFeI4,ICSD,66811,1.0,24.0,180.0,1.0,0.0,0.0,0.462,(1;111),0.0
14,3.0,NaCrF4,ICSD,37108,1.0,24.0,204.0,2.0,0.0,0.004,0.262,(1;111),0.0
14,3.0,Sr(AsPt)2,ICSD,418156,1.0,20.0,160.0,3.0,0.0,0.001,0.827,(0;111),0.0
14,4.0,Sr2YRuO6,ICSD,49500,1.0,20.0,166.0,3.0,0.0,0.0,0.798,(0;101),0.0
14,4.0,Sc(ReO3)2,ICSD,245796,1.0,18.0,154.0,3.0,0.0,0.0,0.679,(0;110),0.0
14,4.0,Mn(SeO3)2,ICSD,69801,1.0,18.0,126.0,3.0,0.0,0.001,0.915,(0;000),0.0
14,4.0,K2TcI6,ICSD,65510,1.0,18.0,150.0,1.0,0.0,0.0,0.897,(0;000),0.0
14,4.0,Li2VF6,ICSD,290251,1.0,18.0,122.0,1.0,0.0,0.0,0.769,(0;000),0.0
14,4.0,Sr2CoTeO6,ICSD,153002,1.0,20.0,158.0,3.0,0.0,0.0,0.898,(0;101),0.0
14,4.0,CoTe(PbO3)2,ICSD,169193,1.0,20.0,174.0,3.0,0.0,0.0,0.876,(0;000),0.0
14,4.0,Ir(Cl2F3)2,ICSD,411351,1.0,22.0,174.0,1.0,0.0,0.0,0.66,(0;101),0.0
14,4.0,Ca2FeReO6,ICSD,150697,1.0,20.0,158.0,3.0,0.0,0.0,0.82,(0;101),0.0
14,4.0,Ca2CoWO6,ICSD,98732,1.0,20.0,174.0,3.0,0.0,0.0,0.983,(0;101),0.0
14,4.0,Al9Rh2,ICSD,414304,1.0,22.0,122.0,3.0,0.0,0.0,0.858,(0;010),0.0
14,4.0,Al9Ir2,ICSD,414302,1.0,22.0,122.0,3.0,0.0,0.0,0.849,(0;010),0.0
14,4.0,K2AgF4,ICSD,421461,1.0,14.0,114.0,1.0,0.0,0.0,0.547,(0;010),0.0
15,2.0,Sb2Te3,ICSD,185954,1.0,10.0,56.0,3.0,0.0,0.036,0.559,(1;110),0.0
15,2.0,P2Pt5,ICSD,24327,1.0,14.0,120.0,3.0,0.0,0.057,0.437,(0;110),0.0
15,2.0,Ta2NiSe5,ICSD,61148,1.0,16.0,132.0,2.0,0.0,0.016,0.014,(1;000),0.0
15,2.0,MoP4,ICSD,105057,1.0,10.0,68.0,2.0,0.0,0.019,0.126,(1;000),1.0
15,2.0,Li2RuO3,ICSD,78721,1.0,24.0,160.0,3.0,0.0,0.008,0.292,(1;000),0.0
15,2.0,NaMn(GeO3)2,ICSD,237747,1.0,20.0,136.0,3.0,0.0,0.005,0.265,(0;110),0.0
15,2.0,Rb4Fe2O5,ICSD,154291,1.0,22.0,164.0,1.0,0.0,0.004,0.266,(0;000),0.0
15,2.0,Sr2LiFe2N3,ICSD,71059,1.0,16.0,108.0,1.0,0.0,0.008,0.228,(1;000),0.0
15,2.0,CrP4,ICSD,2790,1.0,10.0,68.0,2.0,0.0,0.022,0.114,(1;000),1.0
15,2.0,CoGeO3,ICSD,26814,1.0,20.0,156.0,3.0,0.0,0.005,0.333,(1;000),0.0
15,2.0,Ga2NiCl8,ICSD,417870,1.0,22.0,184.0,2.0,0.0,0.002,0.192,(1;000),0.0
15,2.0,CrBiO3,ICSD,174404,1.0,20.0,188.0,3.0,0.0,0.003,0.244,(1;000),0.0
15,2.0,Ba2LiFe2N3,ICSD,71060,1.0,16.0,108.0,1.0,0.0,0.006,0.407,(1;000),0.0
15,2.0,Al2NiCl8,ICSD,417872,1.0,22.0,144.0,2.0,0.0,0.003,0.088,(1;000),0.0
15,4.0,Y2Si5Rh3,ICSD,40760,1.0,20.0,186.0,3.0,0.0,0.0,0.534,(0;011),0.0
